Att,Med,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,29,53,27,20,41,38,27,25
0,0,53,68,22,52,39,33,21,31
43,41,27,31,27,54,49,41,30,45
36,45,51,34,47,36,33,41,32,35
66,37,35,77,29,17,18,37,41,34
0,0,35,77,29,17,18,37,41,34
0,0,35,77,29,17,18,37,41,34
0,0,35,77,29,17,18,37,41,34
0,0,35,77,29,17,18,37,41,34
0,0,35,77,29,17,18,37,41,34
0,0,35,77,29,17,18,37,41,34
0,0,36,55,32,40,55,51,35,29
0,0,65,60,26,31,33,26,31,29
60,26,60,50,26,30,54,36,31,34
71,23,49,36,21,16,34,31,35,37
56,28,29,69,24,21,25,39,30,37
67,26,61,79,25,14,29,33,24,36
46,34,70,19,52,22,39,54,19,41
49,36,30,84,37,20,37,29,41,39
45,44,21,64,50,33,45,37,37,30
48,44,23,18,30,37,26,34,40,32
47,47,56,16,53,18,45,39,35,29
52,43,56,30,23,50,34,39,26,32
58,38,23,44,14,38,42,39,23,31
43,40,44,48,32,42,43,28,37,34
46,42,34,50,40,37,62,47,25,36
49,42,20,55,13,68,30,37,34,31
43,45,52,25,30,56,43,38,35,46
46,49,34,50,3,59,35,30,29,23
40,49,28,31,32,51,49,42,35,15
43,50,51,72,32,43,33,24,46,32
0,0,51,72,32,43,33,24,46,32
0,0,51,72,32,43,33,24,46,32
0,0,51,72,32,43,33,24,46,32
0,0,51,72,32,43,33,24,46,32
